Age,Real Stock Balance,Real Priv Pension Balance,State Pension (Gross),Priv Payout (Gross),Stock Withdrawal (Gross),Partial Salary (Gross),Total Taxes & GKV,State Tax,Priv Tax,Salary Tax,Stock Tax,Vorabpauschale,GKV Cost,Rentenpunkte
66,0.0,90576.89590658869,0.0,7043.873031139264,0.0,0.0,2573.4799999999996,0.0,0.0,0.0,0.0,0.0,2573.4799999999996,38.87725242568919
67,0.0,85264.0685216154,0.0,6885.668542127702,0.0,0.0,2573.48,0.0,0.0,0.0,0.0,0.0,2573.48,38.87725242568919
68,0.0,80014.36763205743,19836.729277683655,6730.286361768639,0.0,0.0,3891.075880631418,1546.4459999442079,182.42638941969207,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
69,0.0,74826.1848349941,19836.729277683655,6577.608757356464,0.0,0.0,3875.2950191679183,1536.6753159809416,176.41621191945796,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
70,0.0,69698.00982411475,19836.729277683655,6427.50970283761,0.0,0.0,3860.028842645018,1527.2230830189385,170.60226835856108,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
71,0.0,64628.44305877178,19836.729277683655,6279.852206524044,0.0,0.0,3845.026085705018,1517.8697900797279,164.95280435777215,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
72,0.0,59616.21227807606,19836.729277683655,6134.4846860457,0.0,0.0,3830.2860960639186,1508.620275781449,159.46232901495108,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
73,0.0,54660.19432225315,19836.729277683655,5991.235947851609,0.0,0.0,3815.8082323091185,1499.479658591988,154.12508244961205,0.0,0.0,0.0,2162.203491267518,38.87725242568919
74,0.0,49759.44445070817,19836.729277683655,5849.908069423178,0.0,0.0,3801.5918638994185,1490.47152963624,148.91684299566015,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
75,0.0,44913.236534107135,19836.729277683655,5710.266034356853,0.0,0.0,3787.3872692159184,1481.3945176390748,143.78926030932485,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
76,0.0,40121.11951330475,19836.729277683655,5572.022163441718,0.0,0.0,3773.692242667419,1472.6306171024955,138.85813429740486,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
77,0.0,35382.999093855375,19836.729277683655,5434.811859468649,0.0,0.0,3760.2568814450187,1464.0040620957877,134.04932808171233,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
78,0.0,30699.26033521935,19836.729277683655,5298.1541311363735,0.0,0.0,3747.0805984931176,1455.5255518954168,129.35155533018298,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
79,0.0,26070.96014355582,19836.729277683655,5161.383818190402,0.0,0.0,3733.9144947954187,1446.9806562212632,124.73034730663709,0.0,0.0,0.0,2162.203491267518,38.87725242568919
80,0.0,21500.14752916494,19836.729277683655,5023.527169354274,0.0,0.0,3720.7585703519185,1438.3883579072487,120.16672117715103,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
81,0.0,16990.438546244823,19836.729277683655,4883.052721191265,0.0,0.0,3707.6128251626187,1429.778556100895,115.63077779420516,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
82,0.0,12548.162170249689,19836.729277683655,4737.310344162866,0.0,0.0,3694.2295162034184,1420.9735485875763,111.05247634832342,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
83,0.0,8185.022400150344,19836.729277683655,4581.034915549799,0.0,0.0,3680.361690438618,1411.846461349212,106.31173782188803,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
84,0.0,3926.0419853441176,19836.729277683655,4401.110921425308,0.0,0.0,3664.526662099419,1401.274398179977,101.04877265192326,0.0,0.0,0.0,2162.203491267518,38.87725242568919
85,0.0,0.0,19836.729277683655,3994.2165497013875,0.0,0.0,3631.4201448450185,1379.1063436109032,90.11030996659677,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
86,0.0,0.0,19836.729277683655,0.0,0.0,0.0,3314.5837270434185,1152.3802357759,0.0,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
87,0.0,0.0,19836.729277683655,0.0,0.0,0.0,3314.583727043418,1152.3802357759,0.0,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
88,0.0,0.0,19836.729277683655,0.0,0.0,0.0,3314.5837270434185,1152.3802357759,0.0,0.0,0.0,0.0,2162.203491267518,38.87725242568919
89,0.0,0.0,19836.729277683655,0.0,0.0,0.0,3314.583727043418,1152.3802357759,0.0,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
90,0.0,0.0,19836.729277683655,0.0,0.0,0.0,3314.5837270434185,1152.3802357759,0.0,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
